cmte_id,total_amount,total_count
C00364109,2128.46,53
C00364133,32724.3,20
C00364158,37746.22,82
C00364174,10596.87,6
C00365270,329648.08,251
C00365502,1916.85,7
C00365536,6429134.37,1024
C00365551,8912.75,7
C00365965,490.13,1
C00366468,1982.01,17
C00366948,1299962.52,424
C00367094,14756.46,3
C00367177,1765.47,14
C00367862,1309438.99,529
C00368332,4933.53,8
C00368522,706257.96,496
C00368696,869218.68,269
C00369033,7967931.46,920
C00369090,1335.99,2
C00369181,219029.76,201
C00369660,4750.0,19
C00369801,656321.58,281
C00370056,623601.1,66
C00370122,83953.33,116
C00370130,53647.11,26
C00370221,248716.47,393
C00370577,1698.26,15
C00371203,1274374.5,237
C00371302,1132403.45,1363
C00371948,500.0,2
C00372201,42565.1,56
C00372441,25.0,5
C00372532,8148.86,13
C00372862,90.0,3
C00373001,712636.95,282
C00373696,8665.28,237
C00373837,2095.48,19
C00373910,2847.97,31
C00374058,93269.24,201
C00374306,700.12,2
C00374363,907.82,16
C00374447,2307.98,16
C00375048,2059.0,2
C00375154,10131.35,10
C00375279,5450.6,13
C00375360,21581.55,38
C00375584,44566.29,53
C00375691,2100.0,2
C00376038,146349.72,73
C00376087,1073913.46,911
C00376343,12685.66,91
C00376582,3544.41,26
C00376673,119978.24,142
C00376756,4175.36,7
C00376939,2956967.92,537
C00377143,110268.26,87
C00377168,486.9,9
C00377598,200.0,1
C00377689,49529.46,51
C00378695,61974.29,34
C00379180,6743.67,18
C00379479,110643.81,52
C00379735,3005382.74,443
C00379768,16403.41,19
C00379974,95.95,12
C00380196,3073.0,8
C00380352,1830.2,40
C00380568,27052.44,28
C00380675,7187.42,18
C00380873,41313.95,31
C00381806,10517.64,25
C00381954,350.0,3
C00382028,4011.93,39
C00382143,1635.31,26
C00382150,3509.99,17
C00382283,21999.93,37
C00382424,10891.81,392
C00382457,2500.0,3
C00383489,-143.32,1
C00383604,200.0,18
C00383661,8990.0,22
C00383828,15343.65,48
C00383950,15975.5,5
C00383976,71806.86,149
C00384016,607.0,2
C00384057,1368401.55,420
C00384479,5397995.19,732
C00384529,379132.6,460
C00384578,1800.0,2
C00384818,728.33,12
C00385120,81067.0,2
C00385187,1560.0,13
C00385195,2207.87,11
C00385377,14575.0,23
C00385393,27203.53,101
C00385534,7551.9,14
C00385740,1854.4,5
C00385773,2293233.21,1720
C00385799,57238.09,204
C00385849,1487.56,6
C00385989,14331.49,28
C00386136,648.0,2
C00386748,1038923.81,647
C00386755,31205.19,47
C00386847,13813.01,25
C00386904,26768.31,54
C00387274,21704.28,19
C00387464,449866.43,158
C00387555,7125.35,13
C00388462,193.37,5
C00388470,1261.55,12
C00388504,24561.21,19
C00388587,1873.8,2
C00388819,266.97,4
C00388827,1420.39,17
C00388934,441831.74,138
C00389189,7969.68,39
C00389403,28023.58,3
C00389510,7245.0,12
C00389585,868.93,11
C00389916,30020.04,7
C00389981,66595.33,58
C00390104,4644.52,24
C00390161,138949.53,107
C00390351,654.92,26
C00390476,28520.65,12
C00390526,525.83,25
C00390583,662.82,1
C00390641,744.0,1
C00390674,403690.85,105
C00390724,1550061.81,716
C00390963,6768.0,2
C00391029,591796.45,282
C00391797,383529.64,56
C00391979,11375.7,11
C00392670,14370.67,18
C00392688,333926.74,289
C00392738,425773.86,205
C00392928,105361.54,130
C00393041,34811.03,82
C00393173,100.0,2
C00393298,145.89,1
C00393348,101763.6,117
C00393629,162991.39,98
C00393652,7148.71,23
C00393728,4679.32,179
C00394163,913.7,1
C00394353,6250.0,2
C00394445,108.18,18
C00394452,20741.06,38
C00394460,28076.83,18
C00394593,2800.0,2
C00394957,6585280.65,877
C00395541,2520.77,3
C00395590,32358.46,86
C00395723,9795.87,25
C00395848,1071737.1,384
C00395889,22514.36,68
C00395947,375.0,5
C00396671,15040.86,55
C00396895,1011.82,3
C00396994,8988.27,21
C00397505,1045342.64,1783
C00397554,421.7,10
C00397851,1551.33,14
C00397893,0.0,2
C00398040,6668.0,8
C00398248,2327.61,6
C00398750,691969.52,157
C00399071,101122.27,177
C00399196,508078.4,105
C00399386,466.99,9
C00399444,7380.58,93
C00399642,106.35,1
C00400333,7503.36,26
C00400432,941.44,1
C00400465,35426.22,41
C00400929,300.15,1
C00400945,921.26,1
C00401034,77373.67,76
C00401083,5225.0,1
C00401224,104618412.16,5567
C00401299,1000.0,1
C00401380,1000.0,1
C00401463,1466.46,6
C00401687,1843.98,15
C00401786,1557693.47,485
C00402628,129121.42,289
C00402669,425.73,8
C00402800,131189.85,391
C00402826,7356.8,6
C00402842,250.0,1
C00403071,17076.78,49
C00403105,486.4,10
